,Balin,Gandalf,Frodo,Bilbo,Thorin,Gollum,Elrond,Sauron,Celeborn,Galadriel,Hamfast,Gaffer,Old,Sam,Merry,Fredegar,Pippin,Ted,Isildur,Déagol,Sméagol,Farmer,Goldberry,Tom,Willow,Barliman,Will,Beren,Thingol,Glorfindel,Aragorn,Elladan,Elrohir,Glóin,Bifur,Bofur,Bombur,Ori,Arwen,Gimli,Legolas,Thranduil,Boromir,Celebrimbor,Elendil,Denethor,Saruman,Radagast,Orophin,Rúmil,Haldir,Éomund,Éomer,Éothain,Théoden,Grishnákh,Snaga,Shadowfax,Treebeard,Finglas,Fladrif,Bregalad,Quickbeam,Wormtongue,Háma,Éowyn,Erkenbrand,Gamling,Faramir,Damrod,Anborn,Shelob,Ungoliant,Shagrat,Gorbag,Ufthak,Halbarad,Hirgon,Imrahil,Forlong,Grimbold,Herefara,Angbor,Rosie,Meneldor,Landroval,Aldor,Robin,Widow
0,0.24,0.4,0.68,0.34,0.06,0.26,0.46,0.34,0.24,0.14,0.04,0.1,0.04,0.42,0.32,0.06,0.26,0.06,0.18,0.02,0.06,0.06,0.12,0.1,0.06,0.04,0.04,0.12,0.04,0.12,0.38,0.04,0.08,0.22,0.04,0.04,0.04,0.06,0.04,0.36,0.38,0.1,0.36,0.06,0.02,0.1,0.1,0.04,0.04,0.06,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.4897959183673469,0.44897959183673464,0.08163265306122448,,0.3061224489795918,0.16326530612244897,0.36734693877551017,0.061224489795918366,0.12244897959183673,0.04081632653061224,0.061224489795918366,,0.42857142857142855,0.3877551020408163,,0.26530612244897955,,0.1020408163265306,,0.14285714285714285,,,0.04081632653061224,,,,0.04081632653061224,,,0.5102040816326531,,,0.1020408163265306,,,,,,0.4081632653061224,0.3469387755102041,,0.2857142857142857,,0.04081632653061224,0.14285714285714285,0.22448979591836732,,,,,0.12244897959183673,0.3469387755102041,0.04081632653061224,0.32653061224489793,0.1020408163265306,0.02040816326530612,0.16326530612244897,0.3469387755102041,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.061224489795918366,0.18367346938775508,0.2040816326530612,0.1020408163265306,0.12244897959183673,0.08163265306122448,0.16326530612244897,0.061224489795918366,0.08163265306122448,0.1020408163265306,0.04081632653061224,0.061224489795918366,0.04081632653061224,0.02040816326530612,,,,,,,,,,,,,
2,,0.4117647058823529,0.5490196078431373,0.1568627450980392,,0.09803921568627451,0.1568627450980392,0.29411764705882354,0.0392156862745098,0.19607843137254902,,,,0.47058823529411764,0.47058823529411764,0.0392156862745098,0.21568627450980393,0.0196078431372549,0.13725490196078433,,0.0196078431372549,,,0.0196078431372549,,,0.058823529411764705,,,,0.49019607843137253,0.11764705882352941,0.11764705882352941,,,,,,0.058823529411764705,0.27450980392156865,0.27450980392156865,,0.19607843137254902,,0.0392156862745098,0.2549019607843137,0.11764705882352941,,,,,0.0392156862745098,0.29411764705882354,,0.3137254901960784,,0.058823529411764705,0.0392156862745098,0.09803921568627451,,,,,0.1568627450980392,,0.21568627450980393,,,0.27450980392156865,,,0.11764705882352941,,0.09803921568627451,0.0784313725490196,,0.23529411764705882,0.0784313725490196,0.1568627450980392,0.058823529411764705,0.0784313725490196,0.0392156862745098,0.0392156862745098,0.058823529411764705,0.0392156862745098,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0196078431372549
